,referencing,referenced,total_refs,direct_ref
0,cdb6eb518f6ec868e2394f24ee48926b859518b5,37c70abd2d61ec7f20cd9f9c801ecad00e6bbb7a,1,True
1,cdb6eb518f6ec868e2394f24ee48926b859518b5,76fd60c0ec0030080bd36a23244fe870d443a03a,2,True
2,cdb6eb518f6ec868e2394f24ee48926b859518b5,bbb3d9fcc276837d6d4497a88cb0be43b4aff217,2,True
3,cdb6eb518f6ec868e2394f24ee48926b859518b5,51712091e5cc2f703e852b3c07bae970d7cdefe4,1,True
4,cdb6eb518f6ec868e2394f24ee48926b859518b5,532b585edb31f3843c90ff5c26a4e286ac248cf7,2,True
5,cdb6eb518f6ec868e2394f24ee48926b859518b5,2ac7512497a2289f7fc543d39eb5eec7d48468a9,1,True
6,cdb6eb518f6ec868e2394f24ee48926b859518b5,fd9e48c5cd04fec2823d99ef06c462985d3b2eb7,1,True
7,cdb6eb518f6ec868e2394f24ee48926b859518b5,e7a922049a9bf54a0b13cd1d475a58e36c7c9b3e,1,True
8,cdb6eb518f6ec868e2394f24ee48926b859518b5,3e14b8c206eceacd40c782b63c9581e3c99a5adb,1,True
9,cdb6eb518f6ec868e2394f24ee48926b859518b5,4a01cfe2c5b312ad8bcd791513056b2bcbc84549,1,True
10,cdb6eb518f6ec868e2394f24ee48926b859518b5,4332bf95aa520b515b6de4e50f47e988e45bccd6,4,True
11,cdb6eb518f6ec868e2394f24ee48926b859518b5,155a9d63259f34942860f0393a306070d9664442,5,True
12,cdb6eb518f6ec868e2394f24ee48926b859518b5,e399fb094628f8e8ccd5cb773cc167eab811c004,1,True
13,cdb6eb518f6ec868e2394f24ee48926b859518b5,47b4e322fc8f6339ec96fa02806e52d6a121020a,1,True
14,cdb6eb518f6ec868e2394f24ee48926b859518b5,030938cd7880fd9290b90f997e78937a87383c94,2,True
15,cdb6eb518f6ec868e2394f24ee48926b859518b5,8b0a4d41ee469547163ea154ad2b522d6d335671,8,True
16,cdb6eb518f6ec868e2394f24ee48926b859518b5,ea7a556db3ddfc859e33293063ca7911e3b77da5,2,True
17,cdb6eb518f6ec868e2394f24ee48926b859518b5,341ea24cc5456da43c0c0b8d1a6e362b31815d8f,4,True
18,cdb6eb518f6ec868e2394f24ee48926b859518b5,ea35d133e37f1fc1339999175970d2795dfe99da,3,True
19,cdb6eb518f6ec868e2394f24ee48926b859518b5,9dd8d17a17c9d23572fa90d819a9388a7faa49ed,3,True
20,cdb6eb518f6ec868e2394f24ee48926b859518b5,a4c8b73f5add658a08562e920ed458f96d105179,5,True
21,cdb6eb518f6ec868e2394f24ee48926b859518b5,c7884360037cb59d27ec25f8a3f00f2d95509066,6,True
22,cdb6eb518f6ec868e2394f24ee48926b859518b5,c0d7e39bc35f2cc22ba27a2f1f749a8f0212bcdf,10,True
23,cdb6eb518f6ec868e2394f24ee48926b859518b5,f81f91081ebb79389017ba768d76124d6ca3fa58,2,True
